n,bubble-sort-assignments,bubble-sort-comparisons,insertion-sort-assignments,insertion-sort-comparisons,selection-sort-assignments,selection-sort-comparisons,stl-sort-assignments,stl-sort-comparisons,stl-stable-sort-assignments,stl-stable-sort-comparisons
0,0,0,0,0,0,0,0,0,0,0
10,63,42,63,27,30,45,39,27,43,25
25,483,300,483,183,75,300,145,161,175,99
50,1863,1189,1863,667,150,1225,333,340,358,249
100,6861,4935,6861,2383,300,4950,717,757,916,627
500,195138,124740,195138,65543,1500,124750,4382,5326,5610,4408
1000,760767,498225,760767,254575,3000,499500,9665,12060,13146,9770
2500,4684998,3121122,4684998,1564156,7500,3123750,25996,34995,33062,26995
5000,18590493,12496720,18590493,6201822,15000,12497500,56283,72239,76037,58776
7500,41648280,28107054,41648280,13890252,22500,28121250,86666,116897,114152,96929
10000,73751172,49990535,73751172,24593717,30000,49995000,118792,157857,152059,127574
15000,167695242,112478304,167695242,55913404,45000,112492500,185476,247046,258220,208391
20000,298365057,199974424,298365057,99475002,60000,199990000,251693,341489,344372,275650
25000,461782983,312419235,461782983,153952640,75000,312487500,321841,432242,430409,348658
35000,912946983,612384154,912946983,304350643,105000,612482500,462227,635641,602502,515207
50000,1871147967,1249881039,1871147967,623765976,150000,1249975000,671979,974707,860832,747693
