n,bubble-sort,insertion-sort,selection-sort,stl-sort,stl-stable-sort
0,0.000700,0.000200,0.000600,0.000300,0.000400
10,0.001100,0.000600,0.001700,0.001200,0.002000
25,0.003600,0.002000,0.006100,0.002900,0.004100
50,0.014200,0.005900,0.019900,0.007000,0.007500
100,0.042100,0.015800,0.064000,0.012300,0.014700
500,1.139300,0.472200,1.513400,0.075600,0.083500
1000,4.656400,1.767900,5.792500,0.163700,0.183700
2500,28.969600,24.512200,41.061400,0.594100,0.639900
5000,140.103700,52.131900,222.213100,0.956000,1.069200
7500,327.553600,92.651400,479.508300,2.749700,3.150300
10000,855.551900,443.576800,739.009000,2.159900,2.860800
15000,1088.312400,391.618500,1829.344900,6.020300,6.894400
20000,2267.631400,1268.084600,2697.818500,4.531200,4.876700
25000,3741.465500,1106.830400,5174.170800,6.212300,6.173500
35000,7299.724600,2787.034300,9325.872400,9.766900,10.947000
50000,16952.187400,5781.383600,19960.729200,11.975800,12.856600
